date,rank,song,artist,last_week,peak_rank,weeks_on_board
1992-04-04,98,If You Want It,2nd II None,98.0,98,136
2003-11-29,74,Drinkin' Bone,Tracy Byrd,74.0,74,136
2005-12-31,98,She Don't Tell Me To,Montgomery Gentry,100.0,98,136
2018-03-17,98,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,91.0,98,136
1988-10-01,99,Symptoms Of True Love,Tracie Spencer,99.0,99,136
1978-04-15,87,You're The Love,Seals & Crofts,87.0,87,136
1997-10-18,93,The Rest Of Mine,Trace Adkins,93.0,93,136
1998-12-05,24,Hands,Jewel,24.0,24,136
1958-12-22,56,The All American Boy,Bill Parsons,56.0,56,136
1971-07-17,88,Ain't No Sunshine,Bill Withers,88.0,88,136
1974-11-02,82,Bungle In The Jungle,Jethro Tull,82.0,82,136
1959-05-25,89,There Is Something On Your Mind,Big Jay McNeely And Band,89.0,89,136
1983-01-15,73,Breaking Us In Two,Joe Jackson,73.0,73,136
1977-03-19,87,Hello Stranger,Yvonne Elliman,87.0,87,136
1989-09-02,65,Dr. Feelgood,Motley Crue,65.0,65,136
1961-01-02,86,Spanish Harlem,Ben E. King,86.0,86,136
1972-11-11,89,Your Mama Don't Dance,Kenny Loggins & Jim Messina,89.0,89,136
1984-09-29,77,I Can't Drive 55,Sammy Hagar,77.0,77,136
2012-10-20,3,Live While We're Young,One Direction,3.0,3,136
1961-10-30,94,Let There Be Drums,Sandy Nelson,94.0,94,136
1959-09-07,84,Teen Beat,Sandy Nelson,84.0,84,136
2011-10-15,48,When We Stand Together,Nickelback,48.0,48,136
1973-05-12,85,Boogie Woogie Bugle Boy,Bette Midler,85.0,85,136
1972-12-23,81,Do You Want To Dance?,Bette Midler,81.0,81,136
1989-11-25,90,Kickstart My Heart,Motley Crue,90.0,90,136
1979-04-28,61,She Believes In Me,Kenny Rogers,61.0,61,136
1968-12-14,94,I've Gotta Be Me,Sammy Davis Jr.,94.0,94,136
1959-12-07,98,"Go, Jimmy, Go",Jimmy Clanton,98.0,98,136
1990-06-02,72,Don't Go Away Mad (Just Go Away),Motley Crue,72.0,72,136
2012-12-01,95,Kiss You,One Direction,65.0,95,136
1970-02-14,85,Something's Burning,Kenny Rogers & The First Edition,85.0,85,136
1961-06-26,98,Wooden Heart,Joe Dowell,98.0,98,136
2009-06-13,87,Wetter (Calling You Daddy),Twista Featuring Erika Shevon,87.0,87,136
1971-12-18,98,Don't Say You Don't Remember,Beverly Bremers,98.0,98,136
2019-05-04,75,Before I Let Go,Beyonce,75.0,75,136
2011-02-12,100,Love Faces,Trey Songz,100.0,100,136
2009-05-30,100,I Need A Girl,Trey Songz,85.0,100,136
1961-10-02,53,Big Bad John,Jimmy Dean,53.0,53,136
1971-01-16,98,Help Me Make It Through The Night,Sammi Smith,98.0,98,136
1959-09-07,72,Lonely Street,Andy Williams,72.0,72,136
1960-03-28,81,Ooh Poo Pah Doo - Part II,Jessie Hill,81.0,81,136
2004-04-03,59,Take My Breath Away,Jessica Simpson,59.0,59,136
1958-11-17,74,Love You Most Of All,Sam Cooke,74.0,74,136
1982-10-09,73,Be My Lady,Jefferson Starship,73.0,73,136
1986-12-06,96,Facts Of Love,Jeff Lorber & Karyn White,96.0,96,136
1997-12-06,66,Don't Be Stupid (You Know I Love You),Shania Twain,66.0,66,136
1971-05-29,92,Mr. Big Stuff,Jean Knight,92.0,92,136
2009-09-05,90,I'm Alive,Kenny Chesney With Dave Matthews,90.0,90,136
1979-04-21,84,You Take My Breath Away,Rex Smith,84.0,84,136
1963-01-12,90,I Wanna Be Around,Tony Bennett,90.0,90,136
2008-01-19,92,Shiftwork,Kenny Chesney Duet With George Strait,92.0,92,136
2019-06-08,48,Easier,5 Seconds Of Summer,48.0,48,136
2013-07-27,81,Part II (On The Run),Jay Z Featuring Beyonce,96.0,81,136
2020-01-11,100,July,Noah Cyrus & Leon Bridges,100.0,100,136
1977-11-12,77,Hey Deanie,Shaun Cassidy,77.0,77,136
2000-07-01,63,I Think I'm In Love With You,Jessica Simpson,63.0,63,136
1980-05-17,74,All Night Long,Joe Walsh,74.0,74,136
1966-10-08,79,Devil With A Blue Dress On & Good Golly Miss Molly,Mitch Ryder And The Detroit Wheels,79.0,79,136
2014-05-17,97,My Eyes,Blake Shelton Featuring Gwen Sebastian,97.0,97,136
2019-11-30,93,We Back,Jason Aldean,93.0,93,136
1969-05-24,95,"Baby, I Love You",Andy Kim,95.0,95,136
1974-04-20,99,If You Wanna Get To Heaven,Ozark Mountain Daredevils,99.0,99,136
2008-02-02,96,Laughed Until We Cried,Jason Aldean,96.0,96,136
2007-05-05,97,Johnny Cash,Jason Aldean,97.0,97,136
2014-10-04,63,Gonna Know We Were Here,Jason Aldean,92.0,63,136
2018-04-07,64,Lost In Japan,Shawn Mendes X Zedd,99.0,64,136
1960-08-15,79,Chain Gang,Sam Cooke,79.0,79,136
1984-05-12,72,No Way Out,Jefferson Starship,72.0,72,136
1978-05-27,79,Runaway,Jefferson Starship,79.0,79,136
1995-05-27,92,I Wanna Love Like That,Tony Thompson,92.0,92,136
1984-07-07,51,Rock Me Tonite,Billy Squier,51.0,51,136
1989-01-21,62,Just Because,Anita Baker,62.0,62,136
1986-10-25,78,Crazay,Jesse Johnson (Featuring Sly Stone),78.0,78,136
1990-02-24,69,Heartbeat,Seduction,69.0,69,136
1975-10-04,82,Nights On Broadway,Bee Gees,82.0,82,136
1958-08-18,52,How The Time Flies,Jerry Wallace,52.0,52,136
2004-06-26,73,I Got A Feelin',Billy Currington,73.0,73,136
1991-03-16,81,It's A Shame (My Sister),Monie Love Featuring True Image,81.0,81,136
2006-08-19,94,Everytime Tha Beat Drop,Monica Featuring Dem Franchize Boyz,94.0,94,136
2012-03-24,96,No Hurry,Zac Brown Band,96.0,96,136
2018-11-10,76,Talk To Me,Tory Lanez & Rich The Kid,76.0,76,136
1997-08-23,67,"After 12, Before 6",Sam Salter,67.0,67,136
1990-01-13,67,I Go To Extremes,Billy Joel,67.0,67,136
1985-01-26,57,Keeping The Faith,Billy Joel,57.0,57,136
1985-07-13,50,You're Only Human (Second Wind),Billy Joel,50.0,50,136
1986-10-25,77,Love Is Forever,Billy Ocean,77.0,77,136
1986-07-26,65,Love Zone,Billy Ocean,65.0,65,136
1988-05-28,76,The Colour Of Love,Billy Ocean,76.0,76,136
1972-11-04,74,Me And Mrs. Jones,Billy Paul,74.0,74,136
1968-01-27,67,(Sittin' On) The Dock Of The Bay,Otis Redding,67.0,67,136
1969-08-02,84,That's The Way God Planned It,Billy Preston,84.0,84,136
1975-12-27,73,Fanny (Be Tender With My Love),Bee Gees,73.0,73,136
1985-05-11,65,Crazy In The Night (Barking At Airplanes),Kim Carnes,65.0,65,136
2003-05-03,64,I'm Glad,Jennifer Lopez,64.0,64,136
1986-10-18,42,Hip To Be Square,Huey Lewis & The News,42.0,42,136
1986-10-18,69,You Know I Love You ... Don't You?,Howard Jones,69.0,69,136
1986-05-10,74,When The Heart Rules The Mind,GTR,74.0,74,136
1994-04-30,88,Worker Man,Patra,88.0,88,136
1980-10-18,79,Deep Inside My Heart,Randy Meisner,79.0,79,136
2019-06-15,16,Press,Cardi B,16.0,16,136
2009-10-31,92,Papers,Usher,92.0,92,136
1962-11-03,85,Telstar,The Tornadoes,85.0,85,136
1973-01-27,86,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips,86.0,86,136
1982-05-22,90,If The Love Fits Wear It,Leslie Pearl,90.0,90,136
2014-01-25,93,Goodnight Kiss,Randy Houser,93.0,93,136
1973-11-24,74,I've Got To Use My Imagination,Gladys Knight And The Pips,74.0,74,136
1965-07-31,100,"The ""In"" Crowd",Ramsey Lewis Trio,100.0,100,136
1959-06-01,82,Mona Lisa,Carl Mann,82.0,82,136
2017-02-11,92,Good Drank,2 Chainz x Gucci Mane x Quavo,95.0,92,136
2001-06-02,78,We Need A Resolution,Aaliyah Featuring Timbaland,78.0,78,136
1968-11-09,98,Stand By Your Man,Tammy Wynette,98.0,98,136
1968-05-04,97,Angel Of The Morning,Merrilee Rush & The Turnabouts,97.0,97,136
1966-08-20,89,B-A-B-Y,Carla Thomas,89.0,89,136
2003-11-01,93,Love You More,Ginuwine,93.0,93,136
2009-06-20,95,Last Chance,Ginuwine,95.0,95,136
1994-08-13,83,Romantic Call,Patra Featuring Yo-Yo,83.0,83,136
1998-10-17,37,All The Places (I Will Kiss You),Aaron Hall,37.0,37,136
1974-10-05,89,She's Gone,Tavares,89.0,89,136
1992-03-14,90,Don't Be Afraid,Aaron Hall,90.0,90,136
1982-05-01,90,Forget Me Nots,Patrice Rushen,90.0,90,136
1985-05-04,85,Black Cars,Gino Vannelli,85.0,85,136
1977-06-04,85,Telephone Man,Meri Wilson,85.0,85,136
1999-07-03,97,Everyone Falls In Love,Tanto Metro & Devonte,97.0,97,136
1976-05-01,62,Shop Around,Captain & Tennille,62.0,62,136
1990-08-04,64,Heart Of Stone,Taylor Dayne,64.0,64,136
1994-09-03,94,Can U Get Wit It,Usher,94.0,94,136
2005-12-03,91,Just Might (Make Me Believe),Sugarland,91.0,91,136
1967-07-08,100,Gentle On My Mind,Glen Campbell,100.0,100,136
1963-10-26,99,Since I Fell For You,Lenny Welch,99.0,99,136
1991-07-20,49,Things That Make You Go Hmmmm. . .,C+C Music Factory,49.0,49,136
1974-10-12,90,You Got The Love,Rufus Featuring Chaka Khan,90.0,90,136
1982-09-25,79,American Heartbeat,Survivor,79.0,79,136
1975-12-06,82,Convoy,C.W. McCall,82.0,82,136
1990-10-20,88,Fairweather Friend,Johnny Gill,88.0,88,136
1975-11-15,47,Fox On The Run,Sweet,47.0,47,136
1990-08-04,56,"My, My, My",Johnny Gill,56.0,56,136
1975-01-11,90,Sad Sweet Dreamer,Sweet Sensation,90.0,90,136
1995-03-25,68,I'll Be Around,Rappin' 4-Tay Featuring The Spinners,68.0,68,136
1991-03-16,75,You Don't Have To Go Home Tonight,The Triplets,75.0,75,136
1990-12-08,76,Moneytalks,AC/DC,76.0,76,136
1980-09-06,89,You Shook Me All Night Long,AC/DC,89.0,89,136
1986-11-01,94,Falling In Love (Uh-Oh),Miami Sound Machine,94.0,94,136
2007-05-12,8,Never Again,Kelly Clarkson,8.0,8,136
1976-05-29,73,Young Hearts Run Free,Candi Staton,73.0,73,136
1961-10-30,98,Walk On By,Leroy Van Dyke,98.0,98,136
1962-10-06,98,Wiggle Wobble,Les Cooper and the Soul Rockers,83.0,98,136
1999-05-08,100,Players Holiday,T.W.D.Y. Featuring Too Short & Mac Mall,100.0,100,136
2015-10-17,96,Lay It All On Me,Rudimental Featuring Ed Sheeran,87.0,96,136
1998-10-03,21,Westside,TQ,21.0,21,136
1968-02-24,98,Love Is All Around,The Troggs,98.0,98,136
1972-10-28,86,Clair,Gilbert O'Sullivan,86.0,86,136
1983-04-09,28,Overkill,Men At Work,28.0,28,136
1985-07-06,72,Life In One Day,Howard Jones,72.0,72,136
1992-07-25,76,"Give U My Heart (From ""Boomerang"")",Babyface (Featuring Toni Braxton),76.0,76,136
1985-03-30,65,One Lonely Night,REO Speedwagon,65.0,65,136
1968-02-17,84,Playboy,Gene And Debbe,84.0,84,136
1982-06-12,52,Keep The Fire Burnin',REO Speedwagon,52.0,52,136
1961-04-10,98,Three Hearts In A Tangle,Roy Drusky,98.0,98,136
1961-12-25,92,Tuff,Ace Cannon,92.0,92,136
2011-04-23,87,Hustle Hard,Ace Hood,87.0,87,136
2019-08-24,11,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",11.0,11,136
1982-02-06,84,(oh) Pretty Woman,Van Halen,84.0,84,136
1982-06-12,69,Out Of Work,Gary U.S. Bonds,69.0,69,136
2021-01-30,97,Somebody Like That,Tenille Arts,97.0,97,136
1961-12-11,65,Dear Lady Twist,Gary U.S. Bonds,65.0,65,136
1960-08-08,81,Anymore,Teresa Brewer,81.0,81,136
1968-02-10,100,Gentle On My Mind,Patti Page,100.0,100,136
2001-10-06,94,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",94.0,94,136
2004-10-23,94,Take Me Home,Terror Squad,94.0,94,136
2006-05-20,96,Life Ain't Always Beautiful,Gary Allan,96.0,96,136
2007-09-15,73,More Than A Memory,Garth Brooks,73.0,73,136
2020-05-23,43,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43.0,43,136
1978-11-11,83,Don't Hold Back,Chanson,83.0,83,136
1975-01-25,63,Have You Never Been Mellow,Olivia Newton-John,63.0,63,136
1963-03-02,93,Pipeline,Chantay's,93.0,93,136
1992-12-26,93,No Mistakes,Patty Smyth,93.0,93,136
1972-08-12,97,I Believe In Music,Gallery,97.0,97,136
1996-01-06,63,Let's Play House,Tha Dogg Pound Featuring Michel'le,63.0,63,136
2000-07-15,81,Your Everything,Keith Urban,81.0,81,136
2020-09-26,95,You Got It,VEDO,95.0,95,136
1974-02-02,80,Mockingbird,Carly Simon & James Taylor,80.0,80,136
2018-12-15,46,Pure Cocaine,Lil Baby,46.0,46,136
1974-11-30,79,Doctor's Orders,Carol Douglas,79.0,79,136
2010-08-28,100,Hot Tottie,Usher Featuring Jay-Z,100.0,100,136
1998-09-05,19,Thinkin' Bout It,Gerald Levert,19.0,19,136
1974-08-31,86,Jazzman,Carole King,86.0,86,136
2007-05-05,95,Wrapped,George Strait,95.0,95,136
1999-09-04,82,What Do You Say To That,George Strait,82.0,82,136
1972-10-14,83,Papa Was A Rollin' Stone,The Temptations,83.0,83,136
2010-03-20,43,Lil Freak,Usher Featuring Nicki Minaj,43.0,43,136
1988-07-09,42,Monkey,George Michael,42.0,42,136
1990-10-27,53,Freedom,George Michael,53.0,53,136
1986-04-26,57,A Different Corner,George Michael,57.0,57,136
1975-06-21,88,Third Rate Romance,Amazing Rhythm Aces,88.0,88,136
1964-07-18,93,It Hurts To Be In Love,Gene Pitney,93.0,93,136
2016-11-05,73,Dirty Laundry,Carrie Underwood,73.0,73,136
1990-12-01,86,No Matter What,George LaMond (Duet With Brenda K. Starr),86.0,86,136
1981-05-23,33,All Those Years Ago,George Harrison,33.0,33,136
2002-02-16,94,Never,Amanda Perez,94.0,94,136
1975-03-08,89,How Long,Ace,89.0,89,136
1994-07-02,100,The Right Kinda Lover,Patti LaBelle,100.0,100,136
2014-11-08,98,God Made Girls,RaeLynn,98.0,98,136
1986-08-16,54,Throwing It All Away,Genesis,54.0,54,136
1961-08-14,71,Crying,Roy Orbison,71.0,71,136
1978-04-22,83,Follow You Follow Me,Genesis,83.0,83,136
1974-05-04,98,This Heart,Gene Redding,98.0,98,136
2009-03-14,89,Here Comes Goodbye,Rascal Flatts,89.0,89,136
2016-02-13,87,I Like The Sound Of That,Rascal Flatts,87.0,87,136
1975-04-05,71,Sister Golden Hair,America,71.0,71,136
1980-11-22,86,He Can't Love You,Michael Stanley Band,86.0,86,136
1973-11-03,90,Leave Me Alone (ruby Red Dress),Helen Reddy,90.0,90,136
1962-06-09,96,Baby Elephant Walk,Lawrence Welk And His Orchestra,96.0,96,136
1990-04-14,98,Nicety,Michel'le,98.0,98,136
1975-08-09,86,Ain't No Way To Treat A Lady,Helen Reddy,86.0,86,136
1986-05-03,75,Like No Other Night,Thirty Eight Special,75.0,75,136
1983-11-12,62,If I'd Been The One,Thirty Eight Special,62.0,62,136
1978-02-11,90,Flash Light,Parliament,90.0,90,136
1980-11-22,41,Tell It Like It Is,Heart,41.0,41,136
1986-04-19,65,Nothin' At All,Heart,65.0,65,136
2018-04-21,92,Chun-Li,Nicki Minaj,92.0,92,136
2014-10-11,98,Close Your Eyes,Parmalee,98.0,98,136
1973-06-23,80,I Believe In You (You Believe In Me),Johnnie Taylor,80.0,80,136
1973-03-10,82,Reeling In The Years,Steely Dan,82.0,82,136
1992-11-07,77,Who's Gonna Ride Your Wild Horses,U2,77.0,77,136
1958-09-15,59,Ten Commandments Of Love,Harvey & The Moonglows,59.0,59,136
1990-04-21,89,Turtle Power,Partners In Kryme,89.0,89,136
2017-01-14,90,Think A Little Less,Michael Ray,90.0,90,136
1968-10-05,86,Magic Carpet Ride,Steppenwolf,86.0,86,136
1972-03-11,100,Taxi,Harry Chapin,100.0,100,136
1979-03-17,88,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,88.0,88,136
1973-10-20,83,D'yer Mak'er,Led Zeppelin,83.0,83,136
1990-01-06,85,No Myth,Michael Penn,85.0,85,136
1984-12-22,86,Small Town Boy,Bronski Beat,86.0,86,136
1961-03-06,76,Portrait Of My Love,Steve Lawrence,76.0,76,136
1987-06-20,90,These Times Are Hard For Lovers,John Waite,90.0,90,136
1980-08-09,80,How Do I Survive,Amy Holland,80.0,80,136
2008-07-05,91,All I Want To Do,Sugarland,91.0,91,136
1989-01-14,96,Don't Tell Me Lies,Breathe,96.0,96,136
2009-08-22,98,Welcome To The Future,Brad Paisley,98.0,98,136
2008-11-01,66,Start A Band,Brad Paisley Duet With Keith Urban,66.0,66,136
1987-06-27,89,Dreamin',Will To Power,89.0,89,136
1986-07-12,94,What Does It Take,Honeymoon Suite,94.0,94,136
1976-04-03,84,Movin',Brass Construction,84.0,84,136
1986-03-08,86,Feel It Again,Honeymoon Suite,86.0,86,136
1983-08-13,85,Miracles,Stacy Lattisaw,85.0,85,136
1976-11-27,47,Lost Without Your Love,Bread,47.0,47,136
2013-02-02,82,Wild For The Night,A$AP Rocky Featuring Skrillex,82.0,82,136
1962-09-29,93,Desafinado,Stan Getz/Charlie Byrd,93.0,93,136
2006-03-04,91,Poppin' My Collar,Three 6 Mafia,91.0,91,136
1983-01-22,80,Lies,Thompson Twins,80.0,80,136
1978-04-01,86,Deacon Blues,Steely Dan,86.0,86,136
1986-01-18,52,King For A Day,Thompson Twins,52.0,52,136
1984-05-26,60,Doctor! Doctor!,Thompson Twins,60.0,60,136
2010-07-24,98,B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,98.0,98,136
1989-08-05,80,It's Not Enough,Starship,80.0,80,136
1987-06-27,67,It's Not Over ('til It's Over),Starship,67.0,67,136
1965-09-25,89,Taste Of Honey,Herb Alpert & The Tijuana Brass,89.0,89,136
2001-02-03,75,Free,Mya,75.0,75,136
1978-08-05,66,Summer Nights,John Travolta & Olivia Newton-John & Cast,66.0,66,136
1969-10-18,76,Na Na Hey Hey Kiss Him Goodbye,Steam,76.0,76,136
2012-08-18,89,Diced Pineapples,Rick Ross Featuring Wale & Drake,88.0,89,136
1981-11-14,62,Comin' In And Out Of Your Life,Barbra Streisand,62.0,62,136
1976-05-08,85,Take The Money And Run,Steve Miller,85.0,85,136
1994-07-16,86,You Better Wait,Steve Perry,86.0,86,136
1960-07-18,87,The Twist,Hank Ballard And The Midnighters,87.0,87,136
1967-09-30,88,Incense And Peppermints,Strawberry Alarm Clock,88.0,88,136
1983-10-08,75,P.Y.T. (Pretty Young Thing),Michael Jackson,75.0,75,136
1987-10-17,66,Skeletons,Stevie Wonder,66.0,66,136
1972-11-18,82,Superstition,Stevie Wonder,82.0,82,136
2015-12-26,93,Backroad Song,Granger Smith,93.0,93,136
1987-10-03,40,Brilliant Disguise,Bruce Springsteen,40.0,40,136
1981-04-25,90,Is It You,Lee Ritenour,90.0,90,136
1977-12-24,82,The Name Of The Game,ABBA,82.0,82,136
1992-03-21,29,Human Touch/Better Days,Bruce Springsteen,29.0,29,136
1987-12-05,57,Tunnel Of Love,Bruce Springsteen,57.0,57,136
1959-05-25,98,Waterloo,Stonewall Jackson,98.0,98,136
2013-09-14,60,Gorilla,Bruno Mars,60.0,60,136
1987-03-28,54,Heat Of The Night,Bryan Adams,54.0,54,136
1960-09-19,87,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,87.0,87,136
1986-07-26,73,Walk This Way,Run-D.M.C.,73.0,73,136
1983-04-30,35,Don't Let It End,Styx,35.0,35,136
1990-06-23,80,We're All In the Same Gang,The West Coast Rap All-Stars,80.0,80,136
1984-03-17,58,Head Over Heels,Go-Go's,58.0,58,136
2006-05-27,93,Me And My Gang,Rascal Flatts,93.0,93,136
1991-04-06,91,Love At First Sight,Styx,91.0,91,136
2000-03-25,74,You Owe Me,NAS Featuring Ginuwine,74.0,74,136
1961-12-04,94,Norman,Sue Thompson,94.0,94,136
1972-08-05,85,Ben,Michael Jackson,85.0,85,136
1982-10-16,69,Shadows Of The Night,Pat Benatar,69.0,69,136
1959-03-09,81,Guitar Boogie Shuffle,The Virtues,81.0,81,136
1988-04-30,58,The Valley Road,Bruce Hornsby & The Range,58.0,58,136
1990-06-23,63,Across The River,Bruce Hornsby & The Range,63.0,63,136
1973-04-21,96,Give Your Baby A Standing Ovation,The Dells,96.0,96,136
2012-10-06,100,Did It For The Girl,Greg Bates,100.0,100,136
1981-12-05,84,Love Is Alright Tonite,Rick Springfield,84.0,84,136
1984-03-10,49,Love Somebody,Rick Springfield,49.0,49,136
1959-10-19,60,So Many Ways,Brook Benton,60.0,60,136
1978-04-22,94,Bluer Than Blue,Michael Johnson,94.0,94,136
1976-09-04,77,Fernando,ABBA,77.0,77,136
2017-06-10,77,Most Girls,Hailee Steinfeld,77.0,77,136
2015-08-29,96,Love Myself,Hailee Steinfeld,96.0,96,136
1961-05-15,90,The Boll Weevil Song,Brook Benton,90.0,90,136
1993-12-25,83,Life (Everybody Needs Somebody To Love),Haddaway,83.0,83,136
2021-05-08,64,Come Through,H.E.R. Featuring Chris Brown,70.0,64,136
1994-04-16,86,Part Time Lover/I'm Still In Love With You,H-Town/Al B. Sure!,86.0,86,136
2005-02-12,82,It's Getting Better All The Time,Brooks & Dunn,82.0,82,136
2007-06-09,76,4 In The Morning,Gwen Stefani,76.0,76,136
1991-12-21,95,Live And Let Die,Guns N' Roses,95.0,95,136
1973-03-24,86,Let's Pretend,Raspberries,86.0,86,136
2017-07-01,100,It Ain't My Fault,Brothers Osborne,100.0,100,136
2009-11-14,93,Spotlight,Gucci Mane Featuring Usher,93.0,93,136
1975-11-29,89,Squeeze Box,The Who,89.0,89,136
1997-05-17,61,5 Miles To Empty,Brownstone,61.0,61,136
1985-05-18,85,Find A Way,Amy Grant,85.0,85,136
1984-12-01,64,Love Light In Flight,Stevie Wonder,64.0,64,136
1980-04-19,57,She's Out Of My Life,Michael Jackson,57.0,57,136
1982-02-13,90,Goin' Down,Greg Guidry,90.0,90,136
2010-02-27,76,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,76.0,76,136
2002-05-11,76,What If A Woman,Joe,76.0,76,136
1971-03-06,87,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,87.0,87,136
1962-10-20,87,Bobby's Girl,Marcie Blane,87.0,87,136
1988-07-30,73,Fallen Angel,Poison,73.0,73,136
1960-10-17,82,Lonely Teenager,Dion,82.0,82,136
1996-10-12,34,Sittin' On Top Of The World,Da Brat,34.0,34,136
1978-02-18,78,Sweet Talkin' Woman,Electric Light Orchestra,78.0,78,136
1982-03-27,80,Fantasy,Aldo Nova,80.0,80,136
1999-05-15,83,Tonight The Heartache's On Me,Dixie Chicks,83.0,83,136
2005-03-05,82,Number One Spot,Ludacris,82.0,82,136
2007-04-14,78,Little Wonders,Rob Thomas,78.0,78,136
1996-04-27,80,"Scarred (From ""Eddie"")",Luke,80.0,80,136
2009-10-24,16,One Less Lonely Girl,Justin Bieber,16.0,16,136
1993-11-13,80,Real Muthaphuckkin G's,Eazy-E,80.0,80,136
1983-04-30,43,Family Man,Daryl Hall John Oates,43.0,43,136
2003-04-26,87,In Love Wit Chu,Da Brat Featuring Cherish,87.0,87,136
1998-05-16,85,There's Your Trouble,Dixie Chicks,85.0,85,136
1962-10-06,88,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,88.0,88,136
1958-08-04,54,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,54.0,54,136
1980-06-21,71,Make A Little Magic,The Dirt Band,71.0,71,136
2021-07-24,50,Memory,Kane Brown X blackbear,50.0,50,136
1996-03-30,65,Amish Paradise,"""Weird Al"" Yankovic",65.0,65,136
1994-03-12,96,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,96.0,96,136
1973-10-06,74,Photograph,Ringo Starr,74.0,74,136
1982-01-23,82,Should I Do It,The Pointer Sisters,82.0,82,136
1974-07-27,97,Live It Up Part 1,The Isley Brothers,97.0,97,136
1972-08-19,95,"Freddie's Dead (Theme From ""Superfly"")",Curtis Mayfield,95.0,95,136
1974-04-13,90,For The Love Of Money,The O'Jays,90.0,90,136
2008-11-01,92,I Don't Care,Apocalyptica Featuring Adam Gontier,92.0,92,136
1981-01-24,78,Precious To Me,Phil Seymour,78.0,78,136
1993-02-27,90,Simple Life,Elton John,90.0,90,136
2018-07-14,86,"Sunrise, Sunburn, Sunset",Luke Bryan,86.0,86,136
1999-10-02,91,15 Minutes,Marc Nelson,91.0,91,136
1998-02-14,82,If I Never Stop Loving You,David Kersh,82.0,82,136
1983-05-28,80,Saved By Zero,The Fixx,80.0,80,136
1987-05-30,76,Wot's It To Ya,Robbie Nevil,76.0,76,136
2013-04-06,42,#thatPOWER,will.i.am Featuring Justin Bieber,42.0,42,136
1976-05-29,89,Sophisticated Lady (She's A Different Lady),Natalie Cole,89.0,89,136
1962-08-04,91,Ramblin' Rose,Nat King Cole,91.0,91,136
1988-04-16,46,Everything Your Heart Desires,Daryl Hall John Oates,46.0,46,136
1985-01-19,43,California Girls,David Lee Roth,43.0,43,136
1959-12-28,72,Where Or When,Dion & The Belmonts,72.0,72,136
1987-03-14,83,Talk Dirty To Me,Poison,83.0,83,136
1997-09-06,7,Barbie Girl,Aqua,7.0,7,136
1985-08-17,36,Dress You Up,Madonna,36.0,36,136
1988-06-04,98,I Know You're Out There Somewhere,The Moody Blues,98.0,98,136
1977-05-07,87,"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings,87.0,87,136
1958-08-25,95,No One Knows,Dion & The Belmonts,95.0,95,136
1978-05-06,85,Thank God It's Friday,Love And Kisses,85.0,85,136
1963-04-06,87,I Love You Because,Al Martino,87.0,87,136
1973-04-28,90,Roll Over Beethoven,Electric Light Orchestra,90.0,90,136
1989-06-03,41,Express Yourself,Madonna,41.0,41,136
1969-04-05,80,Grazing In The Grass,The Friends Of Distinction,80.0,80,136
1973-05-26,85,Smoke On The Water,Deep Purple,85.0,85,136
2004-12-04,75,Monday Morning Church,Alan Jackson,75.0,75,136
2007-02-03,89,She's Like The Wind,Lumidee Featuring Tony Sunshine,89.0,89,136
1982-12-18,78,The Woman In Me,Donna Summer,78.0,78,136
1974-06-22,78,Feel Like Makin' Love,Roberta Flack,78.0,78,136
1998-12-05,72,Pretty Fly (For A White Guy),The Offspring,72.0,72,136
1986-10-04,40,True Blue,Madonna,40.0,40,136
1973-04-14,88,And I Love You So,Perry Como,88.0,88,136
1975-07-05,77,That's The Way Of The World,"Earth, Wind & Fire",77.0,77,136
1987-06-06,63,"Cross My Broken Heart (From ""Beverly Hills Cop II"")",The Jets,63.0,63,136
1975-10-25,50,That's The Way (I Like It),KC And The Sunshine Band,50.0,50,136
1987-07-11,43,Who's That Girl,Madonna,43.0,43,136
1976-07-10,80,Summer,War,80.0,80,136
1997-11-22,81,I'm Afraid Of Americans,David Bowie,81.0,81,136
2015-04-25,99,Baby Be My Love Song,Easton Corbin,99.0,99,136
1990-11-10,82,New York Minute,Don Henley,82.0,82,136
2013-05-25,24,#Beautiful,Mariah Carey Featuring Miguel,24.0,24,136
2005-10-29,100,Heard 'Em Say,Kanye West Featuring Adam Levine,100.0,100,136
1979-05-12,69,Boogie Wonderland,"Earth, Wind & Fire with The Emotions",69.0,69,136
